CASE_NUMBER,DATE,VICTIMIZATION_PRIMARY,INCIDENT_PRIMARY,GUNSHOT_INJURY_I,COMMUNITY_AREA,STREET_OUTREACH_ORGANIZATION,AREA,DISTRICT,BEAT,AGE,SEX,RACE,VICTIMIZATION_IUCR_SECONDARY,MONTH,DAY_OF_WEEK,HOUR,LOCATION_DESCRIPTION
JG147400,2/10/23,HOMICIDE,HOMICIDE,YES,SOUTH SHORE,Claretian Associates South Shore,1,3,334,30-39,M,BLK,FIRST DEGREE MURDER,2,6,10,APARTMENT
JG214225,4/7/23,HOMICIDE,HOMICIDE,YES,WEST GARFIELD PARK,READI 60624 | INVC West Garfield Park,4,11,1113,20-29,M,BLK,FIRST DEGREE MURDER,4,6,12,STREET
JD204846,4/8/20,BATTERY,BATTERY,YES,AUSTIN,INVC Austin,5,25,2532,20-29,M,BLK,AGGRAVATED - HANDGUN,4,4,14,STREET
JD204846,4/8/20,BATTERY,BATTERY,YES,AUSTIN,INVC Austin,5,25,2532,20-29,M,BLK,AGGRAVATED - HANDGUN,4,4,14,STREET
JD382340,9/28/20,BATTERY,BATTERY,YES,AUSTIN,INVC Austin,5,25,2532,UNKNOWN,UNKNOWN,UNKNOWN,AGGRAVATED - HANDGUN,9,2,17,STREET
JG214225,4/7/23,HOMICIDE,HOMICIDE,YES,WEST GARFIELD PARK,READI 60624 | INVC West Garfield Park,4,11,1113,20-29,M,BLK,FIRST DEGREE MURDER,4,6,12,STREET
JF234861,5/8/22,HOMICIDE,HOMICIDE,YES,WEST ENGLEWOOD,READI 60631 | Public Equity West Englewood,1,7,734,20-29,M,BLK,FIRST DEGREE MURDER,5,1,20,STREET
HY552028,12/27/15,BATTERY,BATTERY,YES,WEST ENGLEWOOD,TADC West Englewood | READI 60631 | Public Equity West Englewood,1,7,725,30-39,M,BLK,AGGRAVATED - HANDGUN,12,1,20,STREET
HY553499,12/29/15,BATTERY,BATTERY,YES,ENGLEWOOD,TADC Englewood | READI 60621 | Public Equity Englewood,1,7,722,30-39,M,BLK,AGGRAVATED - HANDGUN,12,3,10,RESIDENCE PORCH/HALLWAY
JE285535,7/1/21,BATTERY,BATTERY,YES,SOUTH SHORE,Claretian Associates South Shore,1,3,334,UNKNOWN,M,BLK,AGGRAVATED - HANDGUN,7,5,2,STREET
HY553747,12/29/15,BATTERY,BATTERY,YES,WASHINGTON PARK,Acclivus Washington Park,1,2,232,0-19,M,BLK,AGGRAVATED - HANDGUN,12,3,14,SIDEWALK
JG196983,3/24/23,HOMICIDE,HOMICIDE,YES,AUSTIN,INVC Austin,5,25,2532,0-19,M,BLK,FIRST DEGREE MURDER,3,6,8,APARTMENT
JG156286,2/17/23,BATTERY,BATTERY,YES,AUSTIN,READI 60644 | INVC Austin,4,15,1512,0-19,F,BLK,AGGRAVATED - HANDGUN,2,6,16,SIDEWALK
JF482140,11/20/22,BATTERY,HOMICIDE,YES,AUSTIN,INVC Austin,4,15,1511,30-39,M,BLK,AGGRAVATED - HANDGUN,11,1,23,PARKING LOT
JG223522,4/14/23,BATTERY,BATTERY,YES,AUSTIN,READI 60644 | INVC Austin,4,15,1523,20-29,M,BLK,AGGRAVATED - HANDGUN,4,6,15,STREET
JG231396,4/20/23,BATTERY,BATTERY,YES,WEST GARFIELD PARK,READI 60624 | INVC West Garfield Park,4,11,1131,30-39,M,WBH,AGGRAVATED - HANDGUN,4,5,19,STREET
JG222030,4/13/23,HOMICIDE,HOMICIDE,YES,WEST ENGLEWOOD,READI 60631,1,7,713,40-49,M,BLK,FIRST DEGREE MURDER,4,5,16,STREET
JG221937,4/13/23,BATTERY,BATTERY,YES,SOUTH SHORE,Claretian Associates South Shore,1,3,331,0-19,M,BLK,AGGRAVATED - HANDGUN,4,5,15,SIDEWALK
JG196983,3/24/23,BATTERY,HOMICIDE,YES,AUSTIN,INVC Austin,5,25,2532,0-19,M,BLK,AGGRAVATED - HANDGUN,3,6,8,APARTMENT
JG231390,4/20/23,BATTERY,BATTERY,YES,NORTH LAWNDALE,UCAN North Lawndale | READI 60624,4,11,1133,20-29,M,BLK,AGGRAVATED - HANDGUN,4,5,19,STREET
HV359989,6/30/12,HOMICIDE,HOMICIDE,YES,AUSTIN,READI 60644 | INVC Austin,4,15,1533,30-39,M,BLK,FIRST DEGREE MURDER,6,7,12,PORCH
HZ192702,3/18/16,BATTERY,BATTERY,YES,AUSTIN,INVC Austin,4,15,1524,40-49,M,BLK,AGGRAVATED - HANDGUN,3,6,22,SIDEWALK
HZ192702,3/18/16,BATTERY,BATTERY,YES,AUSTIN,INVC Austin,4,15,1524,40-49,M,BLK,AGGRAVATED - HANDGUN,3,6,22,SIDEWALK
HZ193386,3/19/16,BATTERY,BATTERY,YES,AUSTIN,INVC Austin,4,15,1511,30-39,M,BLK,AGGRAVATED - HANDGUN,3,7,15,STREET
JG123720,1/20/23,HOMICIDE,HOMICIDE,YES,WEST GARFIELD PARK,READI 60624,4,11,1122,30-39,M,BLK,FIRST DEGREE MURDER,1,6,22,PORCH
JD189162,3/18/20,BATTERY,BATTERY,YES,NORTH LAWNDALE,UCAN North Lawndale | READI 60623,4,10,1021,20-29,F,BLK,AGGRAVATED - HANDGUN,3,4,1,STREET
JD202329,4/5/20,BATTERY,BATTERY,YES,NORTH LAWNDALE,UCAN North Lawndale | READI 60623 | CRED West Side,4,10,1021,20-29,M,BLK,AGGRAVATED - HANDGUN,4,1,1,APARTMENT
HZ448232,9/24/16,ROBBERY,ROBBERY,YES,AUSTIN,READI 60644 | INVC Austin,4,15,1522,20-29,M,BLK,AGGRAVATED VEHICULAR HIJACKING,9,7,20,STREET
JC321957,6/25/19,BATTERY,BATTERY,YES,GREATER GRAND CROSSING,Acclivus Greater Grand Crossing,2,6,623,20-29,F,BLK,AGGRAVATED - HANDGUN,6,3,20,SIDEWALK
JG231172,4/20/23,HOMICIDE,HOMICIDE,NO,NORTH LAWNDALE,UCAN North Lawndale | READI 60623,4,10,1022,0-19,M,BLK,FIRST DEGREE MURDER,4,5,16,APARTMENT
JG232690,4/21/23,BATTERY,BATTERY,YES,WEST GARFIELD PARK,UCAN North Lawndale | READI 60624 | INVC West Garfield Park,4,11,1133,30-39,M,WHI,AGGRAVATED - HANDGUN,4,6,21,STREET
JF417242,9/30/22,BATTERY,BATTERY,YES,EAST GARFIELD PARK,READI 60624 | Breakthrough East Garfield Park,4,11,1123,50-59,M,BLK,AGGRAVATED - HANDGUN,9,6,23,BAR OR TAVERN
JF485010,11/23/22,BATTERY,BATTERY,YES,AUSTIN,Together Chicago Austin | READI 60644 | INVC Austin,4,15,1532,0-19,M,BLK,AGGRAVATED - HANDGUN,11,4,11,RESIDENCE - YARD (FRONT / BACK)
JE315100,7/26/21,BATTERY,BATTERY,YES,GREATER GRAND CROSSING,Acclivus Greater Grand Crossing,1,3,322,30-39,M,BLK,AGGRAVATED - HANDGUN,7,2,17,SIDEWALK
JG165023,2/25/23,HOMICIDE,HOMICIDE,YES,GREATER GRAND CROSSING,Acclivus Greater Grand Crossing,1,3,323,40-49,F,BLK,FIRST DEGREE MURDER,2,7,2,STREET
JG181712,3/11/23,BATTERY,BATTERY,YES,AUSTIN,READI 60644 | INVC Austin,4,15,1533,0-19,M,BLK,AGGRAVATED - HANDGUN,3,7,11,ALLEY
JG175588,3/6/23,BATTERY,BATTERY,YES,WEST GARFIELD PARK,READI 60624 | INVC West Garfield Park,4,11,1114,20-29,M,BLK,AGGRAVATED - HANDGUN,3,2,8,PARK PROPERTY
HY556211,12/31/15,ROBBERY,ROBBERY,YES,AUSTIN,INVC Austin,4,15,1524,20-29,F,BLK,ATTEMPT ARMED - HANDGUN,12,5,15,SIDEWALK
HY556211,12/31/15,ROBBERY,ROBBERY,YES,AUSTIN,INVC Austin,4,15,1524,20-29,M,BLK,ATTEMPT ARMED - HANDGUN,12,5,15,SIDEWALK
JG214642,4/7/23,BATTERY,BATTERY,YES,WEST ENGLEWOOD,TADC West Englewood | READI 60631 | Public Equity West Englewood,1,7,725,30-39,M,BLK,AGGRAVATED - HANDGUN,4,6,18,ALLEY
JG225286,4/16/23,BATTERY,BATTERY,YES,NORTH LAWNDALE,UCAN North Lawndale | READI 60623,4,10,1022,20-29,M,BLK,AGGRAVATED - HANDGUN,4,1,4,STREET
JG218402,4/10/23,BATTERY,BATTERY,YES,AUSTIN,READI 60644 | INVC Austin,4,15,1523,20-29,M,BLK,AGGRAVATED - HANDGUN,4,2,21,SIDEWALK
JG231390,4/20/23,BATTERY,BATTERY,YES,NORTH LAWNDALE,UCAN North Lawndale | READI 60624,4,11,1133,0-19,M,BLK,AGGRAVATED - HANDGUN,4,5,19,STREET
JG223738,4/14/23,HOMICIDE,HOMICIDE,YES,AUSTIN,READI 60644 | INVC Austin,4,15,1522,30-39,M,BLK,FIRST DEGREE MURDER,4,6,20,TAVERN
JG222628,4/14/23,BATTERY,BATTERY,YES,GREATER GRAND CROSSING,READI 60621 | Public Equity Englewood,1,7,731,0-19,M,BLK,AGGRAVATED - HANDGUN,4,6,1,SIDEWALK
JG223877,4/14/23,BATTERY,BATTERY,YES,EAST GARFIELD PARK,UCAN North Lawndale | Together Chicago East Garfield Park | Breakthrough East Garfield Park,4,11,1134,0-19,F,BLK,AGGRAVATED - HANDGUN,4,6,23,STREET
JG168616,2/28/23,HOMICIDE,HOMICIDE,YES,WEST ENGLEWOOD,TADC West Englewood | READI 60631,1,7,726,30-39,F,WWH,FIRST DEGREE MURDER,2,3,10,HOUSE
HZ100185,1/1/16,BATTERY,BATTERY,YES,GREATER GRAND CROSSING,Acclivus Greater Grand Crossing,2,6,623,20-29,M,BLK,AGGRAVATED - HANDGUN,1,6,2,GAS STATION
JG223877,4/14/23,BATTERY,BATTERY,YES,EAST GARFIELD PARK,UCAN North Lawndale | Together Chicago East Garfield Park | Breakthrough East Garfield Park,4,11,1134,30-39,M,BLK,AGGRAVATED - HANDGUN,4,6,23,STREET
JG154291,2/16/23,HOMICIDE,HOMICIDE,YES,WEST ENGLEWOOD,TADC West Englewood | READI 60631 | Public Equity West Englewood,1,7,735,0-19,M,BLK,FIRST DEGREE MURDER,2,5,0,HOUSE
HZ229273,4/17/16,BATTERY,BATTERY,YES,ENGLEWOOD,TADC Englewood | READI 60621 | Public Equity Englewood,1,7,733,20-29,M,BLK,AGGRAVATED - HANDGUN,4,1,4,SIDEWALK
JE447754,11/17/21,HOMICIDE,HOMICIDE,YES,NORTH LAWNDALE,UCAN North Lawndale | READI 60624,4,11,1132,30-39,M,BLK,FIRST DEGREE MURDER,11,4,0,STREET
JG237364,4/25/23,BATTERY,BATTERY,YES,ENGLEWOOD,READI 60621,1,7,711,20-29,M,BLK,AGGRAVATED - HANDGUN,4,3,21,STREET
JF262824,5/31/22,BATTERY,BATTERY,YES,SOUTH SHORE,Claretian Associates South Shore,2,4,421,0-19,M,BLK,AGGRAVATED - HANDGUN,5,3,18,SIDEWALK
JF262824,5/31/22,BATTERY,BATTERY,YES,SOUTH SHORE,Claretian Associates South Shore,2,4,421,0-19,F,BLK,AGGRAVATED - HANDGUN,5,3,18,SIDEWALK
JD375079,9/22/20,HOMICIDE,HOMICIDE,NO,EAST GARFIELD PARK,UCAN North Lawndale | READI 60624 | Breakthrough East Garfield Park,4,11,1134,30-39,M,BLK,FIRST DEGREE MURDER,9,3,0,STREET
JB573005,12/30/18,ROBBERY,ROBBERY,YES,NORTH LAWNDALE,UCAN North Lawndale | READI 60623,4,10,1012,0-19,M,BLK,ARMED - HANDGUN,12,1,18,ALLEY
JD198290,3/30/20,BATTERY,BATTERY,YES,GREATER GRAND CROSSING,Acclivus Greater Grand Crossing,2,6,623,20-29,M,BLK,AGGRAVATED - HANDGUN,3,2,14,PARKING LOT / GARAGE (NON RESIDENTIAL)
JD233797,5/16/20,BATTERY,BATTERY,YES,ENGLEWOOD,TADC Englewood | READI 60621 | Public Equity Englewood,1,7,723,0-19,M,BLK,AGGRAVATED - HANDGUN,5,7,4,STREET
JE190690,4/5/21,BATTERY,BATTERY,YES,WEST ENGLEWOOD,TADC West Englewood | READI 60631 | Public Equity West Englewood,1,7,725,40-49,M,BLK,AGGRAVATED - HANDGUN,4,2,23,RESIDENCE - PORCH / HALLWAY
JE407860,10/13/21,HOMICIDE,HOMICIDE,NO,AUSTIN,READI 60644 | INVC Austin,4,15,1533,60-69,M,BLK,FIRST DEGREE MURDER,10,4,0,APARTMENT
JG156920,2/18/23,HOMICIDE,HOMICIDE,YES,WEST ENGLEWOOD,READI 60631 | Public Equity West Englewood,1,7,734,40-49,M,BLK,FIRST DEGREE MURDER,2,7,6,STREET
JE190690,4/5/21,BATTERY,BATTERY,YES,WEST ENGLEWOOD,TADC West Englewood | READI 60631 | Public Equity West Englewood,1,7,725,20-29,M,BLK,AGGRAVATED - HANDGUN,4,2,23,RESIDENCE - PORCH / HALLWAY
JE190690,4/5/21,BATTERY,BATTERY,YES,WEST ENGLEWOOD,TADC West Englewood | READI 60631 | Public Equity West Englewood,1,7,725,30-39,M,BLK,AGGRAVATED - HANDGUN,4,2,23,RESIDENCE - PORCH / HALLWAY
JE190690,4/5/21,BATTERY,BATTERY,YES,WEST ENGLEWOOD,TADC West Englewood | READI 60631 | Public Equity West Englewood,1,7,725,30-39,F,BLK,AGGRAVATED - HANDGUN,4,2,23,RESIDENCE - PORCH / HALLWAY
JE190690,4/5/21,BATTERY,BATTERY,YES,WEST ENGLEWOOD,TADC West Englewood | READI 60631 | Public Equity West Englewood,1,7,725,20-29,M,BLK,AGGRAVATED - HANDGUN,4,2,23,RESIDENCE - PORCH / HALLWAY
JG171194,3/2/23,HOMICIDE,HOMICIDE,YES,WEST GARFIELD PARK,READI 60624 | INVC West Garfield Park,4,11,1132,20-29,M,BLK,FIRST DEGREE MURDER,3,5,10,STREET
JG125297,1/22/23,BATTERY,BATTERY,YES,WEST GARFIELD PARK,READI 60624 | INVC West Garfield Park,4,11,1115,30-39,M,BLK,AGGRAVATED - HANDGUN,1,1,10,STREET
JG225032,4/15/23,HOMICIDE,HOMICIDE,YES,RIVERDALE,UCAN Riverdale,2,5,533,20-29,M,BLK,FIRST DEGREE MURDER,4,7,21,HOUSE
JF388882,9/9/22,BATTERY,HOMICIDE,YES,NORTH LAWNDALE,UCAN North Lawndale | READI 60623,4,10,1011,20-29,F,WBH,AGGRAVATED - HANDGUN,9,6,3,STREET
JG141232,2/5/23,BATTERY,BATTERY,YES,NORTH LAWNDALE,UCAN North Lawndale | READI 60623 | CRED West Side,4,10,1021,20-29,M,BLK,AGGRAVATED - HANDGUN,2,1,5,VACANT LOT / LAND
JG216065,4/9/23,BATTERY,BATTERY,YES,AUSTIN,READI 60644 | INVC Austin,4,15,1532,20-29,M,BLK,AGGRAVATED - HANDGUN,4,1,1,SIDEWALK
JG173707,3/4/23,HOMICIDE,HOMICIDE,YES,ENGLEWOOD,TADC Englewood | READI 60621,1,7,712,20-29,M,BLK,FIRST DEGREE MURDER,3,7,12,STREET
JG174823,3/5/23,HOMICIDE,HOMICIDE,YES,GREATER GRAND CROSSING,Acclivus Greater Grand Crossing,1,3,323,30-39,M,BLK,FIRST DEGREE MURDER,3,1,13,STREET
JA115481,1/14/17,BATTERY,HOMICIDE,YES,ENGLEWOOD,TADC Englewood | READI 60621 | Public Equity Englewood,1,7,712,20-29,F,BLK,AGGRAVATED - HANDGUN,1,7,3,APARTMENT
JG223763,4/14/23,BATTERY,BATTERY,YES,WEST GARFIELD PARK,READI 60624 | INVC West Garfield Park,4,11,1122,20-29,M,BLK,AGGRAVATED - HANDGUN,4,6,20,STREET
JG158505,2/19/23,HOMICIDE,HOMICIDE,YES,SOUTH SHORE,Claretian Associates South Shore,2,4,421,0-19,M,BLK,FIRST DEGREE MURDER,2,1,15,STREET
JG221937,4/13/23,BATTERY,BATTERY,YES,SOUTH SHORE,Claretian Associates South Shore,1,3,331,30-39,F,BLK,AGGRAVATED - HANDGUN,4,5,15,SIDEWALK
JG234632,4/23/23,BATTERY,BATTERY,YES,NORTH LAWNDALE,UCAN North Lawndale | READI 60623,4,10,1011,20-29,M,BLK,AGGRAVATED - HANDGUN,4,1,16,ALLEY
JE386224,9/24/21,BATTERY,BATTERY,YES,SOUTH SHORE,Claretian Associates South Shore,1,3,334,20-29,M,BLK,AGGRAVATED - HANDGUN,9,6,21,STREET
JF143590,2/13/22,BATTERY,BATTERY,YES,RIVERDALE,UCAN Riverdale,2,5,533,30-39,M,BLK,AGGRAVATED - HANDGUN,2,1,22,SIDEWALK
JE454914,11/23/21,HOMICIDE,HOMICIDE,YES,GREATER GRAND CROSSING,Acclivus Greater Grand Crossing,1,3,323,30-39,M,BLK,FIRST DEGREE MURDER,11,3,17,BARBER SHOP/BEAUTY SALON
JE456068,11/24/21,BATTERY,BATTERY,YES,WEST GARFIELD PARK,READI 60624 | INVC West Garfield Park,4,11,1132,20-29,M,BLK,AGGRAVATED - HANDGUN,11,4,17,STREET
JG221937,4/13/23,BATTERY,BATTERY,YES,SOUTH SHORE,Claretian Associates South Shore,1,3,331,20-29,F,BLK,AGGRAVATED - HANDGUN,4,5,15,SIDEWALK
JG236158,4/24/23,HOMICIDE,HOMICIDE,YES,SOUTH SHORE,Claretian Associates South Shore,2,4,421,20-29,M,BLK,FIRST DEGREE MURDER,4,2,21,HALLWAY
JF331537,7/25/22,BATTERY,BATTERY,YES,ENGLEWOOD,TADC Englewood | READI 60621,1,7,711,0-19,M,BLK,AGGRAVATED - HANDGUN,7,2,22,STREET
JD428703,11/11/20,BATTERY,BATTERY,YES,NORTH LAWNDALE,UCAN North Lawndale | READI 60623,4,10,1011,0-19,M,BLK,AGGRAVATED - HANDGUN,11,4,20,STREET
JG225976,4/16/23,HOMICIDE,HOMICIDE,YES,WEST GARFIELD PARK,UCAN North Lawndale | READI 60624 | INVC West Garfield Park,4,11,1132,30-39,M,BLK,FIRST DEGREE MURDER,4,1,16,STREET
JG176484,3/6/23,HOMICIDE,HOMICIDE,YES,RIVERDALE,UCAN Riverdale,2,5,533,20-29,M,BLK,FIRST DEGREE MURDER,3,2,16,AUTO
JG234632,4/23/23,BATTERY,BATTERY,YES,NORTH LAWNDALE,UCAN North Lawndale | READI 60623,4,10,1011,30-39,M,BLK,AGGRAVATED - HANDGUN,4,1,16,ALLEY
HZ101318,1/2/16,BATTERY,BATTERY,YES,AUSTIN,READI 60644 | INVC Austin,4,15,1522,20-29,M,BLK,AGGRAVATED - HANDGUN,1,7,8,STREET
HZ102928,1/3/16,BATTERY,BATTERY,YES,AUSTIN,INVC Austin,4,15,1531,0-19,M,BLK,AGGRAVATED - HANDGUN,1,1,18,SIDEWALK
JF525753,12/28/22,BATTERY,BATTERY,YES,AUSTIN,READI 60644 | INVC Austin,4,15,1533,40-49,M,BLK,AGGRAVATED - HANDGUN,12,4,21,GAS STATION
JF525753,12/28/22,BATTERY,BATTERY,YES,AUSTIN,READI 60644 | INVC Austin,4,15,1533,20-29,M,BLK,AGGRAVATED - HANDGUN,12,4,21,GAS STATION
JF525753,12/28/22,BATTERY,BATTERY,YES,AUSTIN,READI 60644 | INVC Austin,4,15,1533,30-39,M,BLK,AGGRAVATED - HANDGUN,12,4,21,GAS STATION
HZ104439,1/5/16,BATTERY,BATTERY,YES,WEST GARFIELD PARK,READI 60624 | INVC West Garfield Park,4,11,1115,20-29,M,BLK,AGGRAVATED - HANDGUN,1,3,7,CTA BUS STOP
HZ105149,1/5/16,BATTERY,BATTERY,YES,AUSTIN,READI 60644 | INVC Austin,4,15,1523,20-29,M,BLK,AGGRAVATED - HANDGUN,1,3,16,VEHICLE NON-COMMERCIAL
HZ105982,1/6/16,BATTERY,BATTERY,YES,WEST GARFIELD PARK,READI 60624 | INVC West Garfield Park,4,11,1113,30-39,M,BLK,AGGRAVATED - HANDGUN,1,4,12,SIDEWALK
HZ106402,1/6/16,BATTERY,HOMICIDE,YES,WEST GARFIELD PARK,READI 60624 | INVC West Garfield Park,4,11,1131,50-59,F,BLK,AGGRAVATED - HANDGUN,1,4,17,PARKING LOT
JF525753,12/28/22,BATTERY,BATTERY,YES,AUSTIN,READI 60644 | INVC Austin,4,15,1533,20-29,M,BLK,AGGRAVATED - HANDGUN,12,4,21,GAS STATION
JG155540,2/17/23,HOMICIDE,HOMICIDE,YES,EAST GARFIELD PARK,UCAN North Lawndale | READI 60624,4,11,1133,20-29,M,BLK,FIRST DEGREE MURDER,2,6,2,STREET
JC338058,7/7/19,BATTERY,BATTERY,YES,ENGLEWOOD,TADC Englewood | READI 60621 | Public Equity Englewood,1,7,711,20-29,F,BLK,AGGRAVATED - HANDGUN,7,1,1,STREET
JC338058,7/7/19,BATTERY,BATTERY,YES,ENGLEWOOD,TADC Englewood | READI 60621 | Public Equity Englewood,1,7,711,20-29,M,BLK,AGGRAVATED - HANDGUN,7,1,1,STREET
JG174430,3/5/23,BATTERY,BATTERY,YES,WEST ENGLEWOOD,TADC West Englewood | READI 60631 | Public Equity West Englewood,1,7,734,20-29,M,BLK,AGGRAVATED - HANDGUN,3,1,3,OTHER (SPECIFY)
JG177320,3/7/23,ROBBERY,ROBBERY,YES,SOUTH SHORE,Claretian Associates South Shore,1,3,334,20-29,M,BLK,ARMED - HANDGUN,3,3,14,APARTMENT
JG177752,3/7/23,BATTERY,BATTERY,YES,SOUTH SHORE,Claretian Associates South Shore,2,4,421,0-19,M,BLK,AGGRAVATED - HANDGUN,3,3,20,SIDEWALK
JG236864,4/25/23,BATTERY,BATTERY,YES,GREATER GRAND CROSSING,Acclivus Greater Grand Crossing,1,3,322,20-29,M,UNKNOWN,AGGRAVATED - HANDGUN,4,3,14,APARTMENT
JD102976,1/3/20,BATTERY,BATTERY,YES,AUSTIN,INVC Austin,4,15,1531,20-29,M,BLK,AGGRAVATED - HANDGUN,1,6,14,SIDEWALK
JG238540,4/26/23,BATTERY,BATTERY,YES,AUSTIN,Together Chicago Austin | READI 60644 | INVC Austin,4,15,1532,40-49,M,BLK,AGGRAVATED - HANDGUN,4,4,19,STREET
JG238253,4/26/23,ROBBERY,ROBBERY,YES,AUSTIN,INVC Austin,4,15,1531,60-69,M,BLK,ATTEMPT ARMED - HANDGUN,4,4,15,APARTMENT
JD365391,9/12/20,HOMICIDE,HOMICIDE,YES,AUSTIN,READI 60644 | INVC Austin,4,15,1523,30-39,F,BLK,FIRST DEGREE MURDER,9,7,23,STREET
HZ107557,1/7/16,BATTERY,BATTERY,YES,NORTH LAWNDALE,UCAN North Lawndale,4,11,1135,0-19,F,BLK,AGGRAVATED - HANDGUN,1,5,18,RESIDENCE PORCH/HALLWAY
HZ107557,1/7/16,BATTERY,BATTERY,YES,NORTH LAWNDALE,UCAN North Lawndale,4,11,1135,20-29,M,BLK,AGGRAVATED - HANDGUN,1,5,18,RESIDENCE PORCH/HALLWAY
HZ107557,1/7/16,BATTERY,BATTERY,YES,NORTH LAWNDALE,UCAN North Lawndale,4,11,1135,20-29,M,BLK,AGGRAVATED - HANDGUN,1,5,18,RESIDENCE PORCH/HALLWAY
HZ108194,1/8/16,BATTERY,BATTERY,YES,AUSTIN,INVC Austin,4,15,1524,0-19,M,BLK,AGGRAVATED - HANDGUN,1,6,10,SIDEWALK
JG178877,3/8/23,BATTERY,BATTERY,YES,AUSTIN,INVC Austin,4,15,1511,0-19,M,BLK,AGGRAVATED - HANDGUN,3,4,20,STREET
JG225870,4/16/23,BATTERY,BATTERY,YES,NORTH LAWNDALE,UCAN North Lawndale | READI 60623,4,10,1012,20-29,M,BLK,AGGRAVATED - HANDGUN,4,1,15,SIDEWALK
JG223887,4/14/23,ROBBERY,ROBBERY,YES,AUSTIN,READI 60644 | INVC Austin,4,15,1533,40-49,M,BLK,ATTEMPT ARMED - HANDGUN,4,6,23,APARTMENT
JG150498,2/12/23,BATTERY,BATTERY,YES,AUSTIN,INVC Austin,4,15,1524,30-39,F,BLK,AGGRAVATED - HANDGUN,2,1,23,SIDEWALK
JG240957,4/28/23,BATTERY,BATTERY,YES,SOUTH SHORE,Claretian Associates South Shore,1,3,332,20-29,M,BLK,AGGRAVATED - HANDGUN,4,6,17,RESIDENCE - YARD (FRONT / BACK)
JG241238,4/28/23,BATTERY,BATTERY,YES,NORTH LAWNDALE,UCAN North Lawndale | READI 60623,4,10,1021,20-29,M,BLK,AGGRAVATED - HANDGUN,4,6,22,STREET
JE386588,9/25/21,HOMICIDE,HOMICIDE,YES,WEST GARFIELD PARK,READI 60624 | INVC West Garfield Park,4,11,1132,20-29,M,BLK,FIRST DEGREE MURDER,9,7,8,AUTO
HM590365,9/9/06,HOMICIDE,HOMICIDE,YES,RIVERDALE,UCAN Riverdale,2,5,533,0-19,M,BLK,FIRST DEGREE MURDER,9,7,0,STREET
HZ109011,1/8/16,BATTERY,HOMICIDE,YES,NORTH LAWNDALE,UCAN North Lawndale | READI 60623,4,10,1022,20-29,M,BLK,AGGRAVATED - HANDGUN,1,6,20,STREET
HL552519,8/16/05,HOMICIDE,HOMICIDE,NO,RIVERDALE,UCAN Riverdale,2,5,533,0-19,F,WWH,FIRST DEGREE MURDER,8,3,11,RIVER
HP489255,8/2/08,HOMICIDE,HOMICIDE,YES,RIVERDALE,UCAN Riverdale,2,5,533,30-39,M,BLK,FIRST DEGREE MURDER,8,7,2,CHA GROUNDS
JG185350,3/14/23,HOMICIDE,HOMICIDE,YES,GREATER GRAND CROSSING,Acclivus Greater Grand Crossing,1,3,323,30-39,M,BLK,FIRST DEGREE MURDER,3,3,14,STREET
JG185292,3/14/23,BATTERY,BATTERY,YES,SOUTH SHORE,Claretian Associates South Shore,1,3,331,20-29,M,BLK,AGGRAVATED - HANDGUN,3,3,13,RESIDENCE - PORCH / HALLWAY
JG235236,4/24/23,BATTERY,BATTERY,YES,NORTH LAWNDALE,UCAN North Lawndale | READI 60624,4,11,1133,30-39,M,BLK,AGGRAVATED - HANDGUN,4,2,8,SIDEWALK
HZ109673,1/9/16,BATTERY,BATTERY,YES,NORTH LAWNDALE,UCAN North Lawndale,4,11,1134,0-19,M,BLK,AGGRAVATED - HANDGUN,1,7,12,SIDEWALK
JG241315,4/29/23,HOMICIDE,HOMICIDE,YES,AUSTIN,Together Chicago Austin | READI 60644 | INVC Austin,4,15,1532,30-39,M,BLK,FIRST DEGREE MURDER,4,7,0,STREET
JG241804,4/29/23,BATTERY,BATTERY,YES,NORTH LAWNDALE,UCAN North Lawndale | READI 60624,4,11,1132,20-29,M,BLK,AGGRAVATED - HANDGUN,4,7,13,SIDEWALK
JG241407,4/29/23,BATTERY,BATTERY,YES,AUSTIN,READI 60644 | INVC Austin,4,15,1532,30-39,M,BLK,AGGRAVATED - HANDGUN,4,7,4,STREET
JF419418,10/2/22,HOMICIDE,HOMICIDE,YES,AUSTIN,INVC Austin,5,25,2533,20-29,M,BLK,FIRST DEGREE MURDER,10,1,18,STREET
JG189597,3/17/23,HOMICIDE,HOMICIDE,YES,AUSTIN,INVC Austin,4,15,1511,30-39,M,BLK,FIRST DEGREE MURDER,3,6,22,YARD
HV164849,2/19/12,HOMICIDE,HOMICIDE,YES,SOUTH SHORE,Claretian Associates South Shore,2,4,421,0-19,M,BLK,FIRST DEGREE MURDER,2,1,18,STREET
JG126633,1/23/23,HOMICIDE,HOMICIDE,YES,SOUTH SHORE,Claretian Associates South Shore,2,4,421,20-29,M,WWH,FIRST DEGREE MURDER,1,2,15,APARTMENT
JG190624,3/18/23,BATTERY,BATTERY,YES,SOUTH SHORE,Claretian Associates South Shore,1,3,334,20-29,M,BLK,AGGRAVATED - HANDGUN,3,7,21,RESTAURANT
HZ194972,3/20/16,ROBBERY,ROBBERY,YES,AUSTIN,READI 60644 | INVC Austin,4,15,1533,20-29,M,BLK,ARMED - HANDGUN,3,1,22,ALLEY
