CASE_NUMBER,DATE,VICTIMIZATION_PRIMARY,INCIDENT_PRIMARY,GUNSHOT_INJURY_I,COMMUNITY_AREA,STREET_OUTREACH_ORGANIZATION,AREA,DISTRICT,BEAT,AGE,SEX,RACE,VICTIMIZATION_IUCR_SECONDARY,MONTH,DAY_OF_WEEK,HOUR,LOCATION_DESCRIPTION
JE203123,4/18/21,BATTERY,HOMICIDE,YES,NORTH LAWNDALE,UCAN North Lawndale | READI 60624,4,11,1134,20-29,M,BLK,AGGRAVATED - HANDGUN,4,1,16,PARKING LOT
JE206520,4/22/21,BATTERY,BATTERY,YES,NORTH LAWNDALE,READI 60623,4,10,1013,30-39,M,BLK,AGGRAVATED - HANDGUN,4,5,10,STREET
JE207760,4/23/21,BATTERY,BATTERY,YES,AUSTIN,READI 60644 | INVC West Garfield Park,4,11,1131,0-19,M,BLK,AGGRAVATED - HANDGUN,4,6,12,ALLEY
JE209128,4/24/21,BATTERY,BATTERY,YES,GREATER GRAND CROSSING,READI 60621 | Public Equity Englewood,1,7,731,40-49,M,BLK,AGGRAVATED - HANDGUN,4,7,20,STREET
JE209128,4/24/21,BATTERY,BATTERY,YES,GREATER GRAND CROSSING,READI 60621 | Public Equity Englewood,1,7,731,40-49,M,BLK,AGGRAVATED - HANDGUN,4,7,20,STREET
JE209176,4/24/21,BATTERY,BATTERY,YES,WEST ENGLEWOOD,READI 60631,1,7,713,30-39,F,BLK,AGGRAVATED - HANDGUN,4,7,21,VACANT LOT / LAND
JE209176,4/24/21,BATTERY,BATTERY,YES,WEST ENGLEWOOD,READI 60631,1,7,713,20-29,M,BLK,AGGRAVATED - HANDGUN,4,7,21,VACANT LOT / LAND
JE209894,4/25/21,BATTERY,BATTERY,YES,GREATER GRAND CROSSING,Acclivus Greater Grand Crossing,1,3,322,50-59,M,BLK,AGGRAVATED - HANDGUN,4,1,17,SIDEWALK
JE209894,4/25/21,BATTERY,BATTERY,YES,GREATER GRAND CROSSING,Acclivus Greater Grand Crossing,1,3,322,40-49,M,BLK,AGGRAVATED - HANDGUN,4,1,17,SIDEWALK
JE209918,4/25/21,BATTERY,BATTERY,YES,WEST ENGLEWOOD,TADC West Englewood | READI 60631,1,7,735,0-19,M,BLK,AGGRAVATED - HANDGUN,4,1,18,VACANT LOT / LAND
JE210677,4/26/21,BATTERY,BATTERY,YES,WEST ENGLEWOOD,TADC West Englewood | READI 60631 | Public Equity West Englewood,1,7,725,20-29,M,BLK,AGGRAVATED - HANDGUN,4,2,14,STREET
